pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
214,670950,"Richards, Trevor",1163,18.4,0.333,0.182,0.357,0.515,0.382,0.407,0.32,11,33,88.1,10.1,2116,85.1,85.21,24,73,141,0.1,6.35,106,153,121,147,301,321,292
213,664299,"Javier, Cristian",2554,8.3,0.226,0.161,0.333,0.387,0.281,0.207,0.17,7,31,84.3,18.8,2885,76.5,75.71,21,70,143,-0.8,5.9,118,159,120,152,293,323,296
211,621363,"Poche, Colin",974,21.7,0.191,0.234,0.222,0.426,0.279,0.263,0.211,9,47,82.6,33.6,2562,78.8,79.21,30,89,122,0.4,7.1,106,156,113,149,299,324,295
205,656629,"Kopech, Michael",2011,10.2,0.143,0.048,0.176,0.19,0.181,0.254,0.199,6,42,86,22.9,2399,78.4,78.02,22,89,116,-0.4,6.43,112,151,108,150,297,326,299
204,656970,"Smeltzer, Devin",1129,18.1,0.406,0.188,0.419,0.594,0.431,0.356,0.335,13,32,85,12.5,2554,75.2,74.35,16,75,129,-0.8,5.77,104,151,115,146,298,331,293
200,453286,"Scherzer, Max",2167,9.2,0.229,0.057,0.308,0.286,0.25,0.285,0.246,8,35,87.5,17.8,2764,75,74.49,14,64,136,-0.5,6.2,118,163,114,152,296,329,302
200,656529,"Hentges, Sam",944,21.2,0.13,0,0.233,0.13,0.135,0.183,0.171,7,54,85.8,0,2514,81.3,81.63,33,88,112,0.3,6.6,109,152,119,148,297,312,286
198,669674,"Long, Sam",739,26.8,0.211,0.158,0.259,0.368,0.258,0.282,0.254,8,38,90.6,14.7,2520,77,76.33,15,65,133,-0.7,5.95,109,150,113,146,298,321,293
198,624133,"Suárez, Ranger",2564,7.7,0.25,0.229,0.4,0.479,0.303,0.219,0.177,12,48,90.3,10.1,2229,76.5,76.25,35,93,105,-0.2,6.17,110,151,118,147,303,326,287
196,548389,"Stripling, Ross",2033,9.6,0.455,0.227,0.429,0.682,0.469,0.407,0.403,10,22,91.2,17.3,2377,76.1,74.6,8,46,150,-1.5,5.61,112,164,113,151,292,319,300
194,468504,"Chacín, Jhoulys",786,24.7,0.182,0.182,0.292,0.364,0.235,0.156,0.132,8,44,84.8,15.9,2564,79.8,79.46,27,83,111,-0.3,5.89,112,151,123,147,302,329,301
192,519151,"Pressly, Ryan",711,27,0.133,0.067,0.185,0.2,0.164,0.232,0.201,6,45,85.4,2.1,3272,81,79.85,36,100,92,-1.2,5.96,115,158,112,150,294,327,297
192,657571,"Ferguson, Caleb",580,33.1,0.209,0.047,0.273,0.256,0.254,0.263,0.201,9,43,85.4,5.4,3084,78.3,77.6,14,70,122,-0.7,6.06,110,154,119,147,298,314,290
189,621121,"McCullers Jr., Lance",759,24.9,0.116,0.047,0.2,0.163,0.205,0.241,0.164,5,43,88.5,-2.9,3013,82.7,81.63,32,86,103,-1.1,5.81,116,157,116,152,287,324,296
188,676265,"Abbott, Cory",845,22.2,0.333,0.152,0.5,0.485,0.374,0.234,0.181,11,33,91,12.9,2291,84.4,83.95,33,86,102,-0.5,6.01,112,157,131,148,300,319,305
185,544365,"Bañuelos, Manny",718,25.8,0.146,0,0.24,0.146,0.164,0.192,0.168,6,41,81.5,23.9,2465,81.7,81.64,32,86,99,-0.1,6.28,108,149,114,148,295,319,291
182,501985,"Minor, Mike",1750,10.4,0.265,0.176,0.318,0.441,0.306,0.269,0.218,9,34,91.4,8,2437,79.2,77.79,11,52,130,-1.4,5.4,109,151,117,146,295,320,286
