pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
278,669270,"Kuhnel, Joel",934,29.8,0.328,0.23,0.436,0.557,0.388,0.279,0.227,20,61,88,10,2365,86.8,84.91,40,115,163,-1.9,6.79,112,150,121,145,294,318,287
277,622098,"Smith, Drew",780,35.5,0.234,0.221,0.295,0.455,0.304,0.261,0.203,18,77,85.2,16.4,2812,85.4,84.84,49,138,139,-0.6,5.89,107,154,120,146,301,325,298
276,600917,"Leclerc, José",782,35.3,0.156,0.091,0.239,0.247,0.19,0.169,0.13,12,77,83,30.1,2583,83.3,82.22,59,139,137,-1.1,5.52,114,152,118,147,299,319,295
275,665665,"Sanmartin, Reiver",1031,26.7,0.239,0.149,0.298,0.388,0.305,0.259,0.192,16,67,82.4,14,2433,82,81.47,43,138,137,-0.5,6.34,115,152,117,147,287,319,297
274,521230,"Hendriks, Liam",948,28.9,0.1,0.12,0.235,0.22,0.164,0.112,0.065,5,50,88.5,13.1,2201,89,90.33,79,118,156,1.3,7.04,110,151,114,148,300,326,300
270,669424,"Lambert, Jimmy",818,33,0.2,0.077,0.273,0.277,0.271,0.248,0.17,13,65,84.4,11.3,2583,84.4,83.5,43,125,145,-0.9,5.79,109,151,114,148,298,324,294
269,669920,"Alexander, Jason",1160,23.2,0.227,0.273,0.214,0.5,0.342,0.321,0.23,10,44,86.4,18.5,2512,81.2,81.13,27,95,174,-0.1,6.22,111,152,119,145,296,316,296
268,621074,"Rucker, Michael",914,29.3,0.258,0.226,0.387,0.484,0.334,0.264,0.194,16,62,89.1,11.1,2459,86.4,82.76,55,125,143,-3.6,6.11,107,152,119,149,304,321,289
268,592716,"Sampson, Adrian",1694,15.8,0.266,0.078,0.364,0.344,0.272,0.259,0.241,17,64,84.3,10.5,2616,83.1,75.85,37,120,148,-7.2,6.27,109,152,117,154,301,321,294
267,572070,"Richards, Garrett",708,37.7,0.232,0.13,0.306,0.362,0.269,0.274,0.234,16,69,87,12.5,2605,88.6,88.18,48,151,116,-0.4,6,111,153,119,147,300,322,293
