Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Mike Trout,30,us US,R,R,"6' 2""",235,7-Aug-91,12,119,117,119,111,0,0,0,0,0,0,0,111,0,111,7,2,0,6.3,"$37,116,666 ",All-Star
César Valdez,37,do DO,R,R,"6' 2""",225,17-Mar-85,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$100,000 ",
Andrew Velazquez,27,us US,B,R,"5' 9""",170,14-Jul-94,5,125,100,125,124,0,0,0,0,0,124,0,0,0,0,0,0,5,1.4,,
Jonathan Villar,31,do DO,B,R,"6' 0""",233,2-May-91,10,13,13,13,13,0,0,0,0,13,0,0,0,0,0,0,0,0,-0.5,,
Tyler Wade,27,us US,L,R,"6' 1""",188,23-Nov-94,6,67,48,67,64,0,0,0,31,12,19,7,2,5,14,1,2,8,-0.7,"$825,000 ",
Chad Wallach,30,us US,R,R,"6' 2""",246,4-Nov-91,6,12,10,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Jared Walsh,28,us US,L,L,"6' 0""",210,30-Jul-93,4,118,106,118,118,0,0,118,0,0,0,2,0,0,2,0,10,0,-0.7,,
Nash Walters,25,us US,R,R,"6' 5""",210,18-May-97,1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Andrew Wantz,26,us US,R,R,"6' 4""",235,13-Oct-95,2,42,1,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0.8,,
Taylor Ward,28,us US,R,R,"6' 1""",200,14-Dec-93,5,135,130,135,132,0,0,0,0,2,0,2,7,125,132,2,5,0,3.7,,
Austin Warren,26,us US,R,R,"6' 0""",170,5-Feb-96,2,14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Zack Weiss,30,us US,R,R,"6' 3""",210,16-Jun-92,2,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Aaron Whitefield,25,au AU,R,R,"6' 4""",210,2-Sep-96,2,5,2,5,5,0,0,0,0,0,0,1,2,3,5,0,1,0,-0.3,,
Rob Zastryzny,30,ca CA,R,L,"6' 3""",205,26-Mar-92,4,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
