last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,b_rbi,b_lob,b_total_bases,r_total_caught_stealing,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate
Duran, Jarren,680776,2022,25,204,223,45,25,14,3,3,63,14,28.3,6.3,0.221,0.363,0.283,0.645,0.142,17,73,74,1,0.219,0.353,0.284,0.282,0.281,0.134,89.3,7.6,27.5,7.7
Jeffers, Ryan,680777,2022,25,212,236,44,26,10,1,7,62,23,26.3,9.7,0.208,0.363,0.284,0.647,0.156,27,91,77,0,0.218,0.424,0.287,0.315,0.295,0.206,88.2,18.2,35.8,13.2
Burdick, Peyton,680814,2022,25,92,102,19,11,4,0,4,35,8,34.3,7.8,0.207,0.38,0.284,0.665,0.174,11,38,35,0,0.205,0.387,0.294,0.296,0.283,0.182,90,18,35.1,10.5
Miller, Owen,680911,2022,25,424,472,103,70,26,1,6,93,32,19.7,6.8,0.243,0.351,0.301,0.652,0.108,51,190,149,0,0.246,0.341,0.287,0.291,0.307,0.095,85.8,10.1,35,3.5
Donovan, Brendan,680977,2022,25,391,468,110,83,21,1,5,70,60,15,12.8,0.281,0.379,0.393,0.772,0.097,45,123,148,3,0.266,0.365,0.349,0.339,0.381,0.099,87.7,6,32.7,3.4
Stott, Bryson,681082,2022,24,427,466,100,69,19,2,10,89,36,19.1,7.7,0.234,0.358,0.294,0.652,0.124,49,209,153,4,0.237,0.34,0.289,0.284,0.297,0.103,88.1,13.1,29.4,4.4
Bride, Jonah,681146,2022,26,162,187,33,28,4,0,1,32,19,17.1,10.2,0.204,0.247,0.299,0.546,0.043,6,71,40,0,0.217,0.3,0.257,0.282,0.314,0.084,86.9,11.5,31.8,1.5
O'Hoppe, Logan,681351,2022,22,14,16,4,4,0,0,0,3,2,18.8,12.5,0.286,0.286,0.375,0.661,0,2,9,4,0,0.232,0.292,0.307,0.285,0.328,0.06,84.3,24.6,36.4,0
Carpenter, Kerry,681481,2022,24,103,113,26,15,4,1,6,32,6,28.3,5.3,0.252,0.485,0.31,0.795,0.233,10,34,50,0,0.209,0.394,0.342,0.292,0.271,0.186,87.2,14.5,37.5,11.1
Lavastida, Bryan,681526,2022,23,12,15,1,1,0,0,0,4,3,26.7,20,0.083,0.083,0.267,0.35,0,0,7,1,0,0.112,0.125,0.197,0.221,0.289,0.013,87.6,6.2,0,0
